"Experimental_Loop_PLUS_Pause","Letter_Control_Condition","Letter_Experimental_Condition","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","condition","condition1","condition2","coordinates","coroutines_cycles","coroutines_duration","coroutines_mean_cycle_duration","correct","correct_KBR_Control","correct_KBR_Control_1","correct_KBR_Experimental","correct_KBR_Experimental_2","correct_response_Control","correct_response_Experimental","count_Blank_Control","count_Blank_Control_1","count_Blank_Experimental","count_Blank_Experimental_2","count_Block_sequence","count_Block_sequence_1","count_Counterbalance","count_End_of_Experiment","count_End_of_Practice","count_Experimental_Loop","count_Experimental_Loop_with_Pause","count_Experimental_PLUS_Pause_Sequence","count_Instructions","count_Instructions_Control_Condition","count_Instructions_Control_Condition_1","count_Instructions_Experimental_Condition","count_Instructions_Experimental_Condition_1","count_KBR_Control","count_KBR_Control_1","count_KBR_Experimental","count_KBR_Experimental_2","count_Letter_Control_Condition","count_Letter_Control_Condition_1","count_Letter_Experimental_Condition_2","count_Letter_Experimental_Condition_2_2","count_Pause_1","count_PracticeLoop","count_Trial_Loop_Control_Condition_Experimental_Phase_1","count_Trial_Loop_Control_Condition_Practice_Phase","count_Trial_Loop_Experimental_Condition_Experimental_Phase","count_Trial_Loop_Experimental_Condition_Practice_Phase","count_Trial_sequence_Control","count_Trial_sequence_Control_1","count_Trial_sequence_Experimental","count_Trial_sequence_Experimental_2","count_coroutines_Control","count_experiment","count_logger_1","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","keyboard_backend","live_row","live_row_PracticeLoop","live_row_Trial_Loop_Control_Condition_Practice_Phase","logfile","mouse_backend","opensesame_codename","opensesame_version","practice","repeat_cycle","response","response_KBR_Control","response_KBR_Control_1","response_KBR_Experimental","response_KBR_Experimental_2","response_time","response_time_KBR_Control","response_time_KBR_Control_1","response_time_KBR_Experimental","response_time_KBR_Experimental_2","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_Blank_Control","time_Blank_Control_1","time_Blank_Experimental","time_Blank_Experimental_2","time_Block_sequence","time_Block_sequence_1","time_Counterbalance","time_End_of_Experiment","time_End_of_Practice","time_Experimental_Loop","time_Experimental_Loop_with_Pause","time_Experimental_PLUS_Pause_Sequence","time_Instructions","time_Instructions_Control_Condition","time_Instructions_Control_Condition_1","time_Instructions_Experimental_Condition","time_Instructions_Experimental_Condition_1","time_KBR_Control","time_KBR_Control_1","time_KBR_Experimental","time_KBR_Experimental_2","time_Letter_Control_Condition","time_Letter_Control_Condition_1","time_Letter_Experimental_Condition_2","time_Letter_Experimental_Condition_2_2","time_Pause_1","time_PracticeLoop","time_Trial_Loop_Control_Condition_Experimental_Phase_1","time_Trial_Loop_Control_Condition_Practice_Phase","time_Trial_Loop_Experimental_Condition_Experimental_Phase","time_Trial_Loop_Experimental_Condition_Practice_Phase","time_Trial_sequence_Control","time_Trial_sequence_Control_1","time_Trial_sequence_Experimental","time_Trial_sequence_Experimental_2","time_experiment","time_logger_1","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"","W","I","82.3076923077","82.3076923077","846.130769231","846.130769231","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","105065","2000","0.0190358349593","0","1","0","0","0","m","m","4","64","4","54","1","9","0","0","0","0","0","0","0","1","9","1","9","4","64","4","54","4","64","4","54","0","0","9","1","9","1","4","64","4","54","4","0","129","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","2","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","None","m","None","m","None","1997","543","1998","1159","1997","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","292956","25416","301087","14290","294016","1219","NA","26435","38118","28063","28117","1219","2098","265582","14291","294018","12237","291957","24416","300088","12237","291957","24416","300088","28118","2059","267577","4093","296013","16286","12223","291943","24401","300074","1218","302086","Go No-go Task","107","109997","130","yes","1024"
"","W","R","81.679389313","81.679389313","854.923664122","854.923664122","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","106066","2000","0.0188561838855","0","1","0","0","0","m","m","4","64","4","55","1","9","0","0","0","0","0","0","0","1","9","1","9","4","64","4","55","4","64","4","55","0","0","9","1","9","1","4","64","4","55","4","0","130","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","3","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","None","m","None","m","None","1998","543","1998","1159","1998","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","292956","25416","303112","14290","294016","1219","NA","26435","38118","28063","28117","1219","2098","265582","14291","294018","12237","291957","24416","302113","12237","291957","24416","302113","28118","2059","267577","4093","296013","16286","12223","291943","24401","302098","1218","304111","Go No-go Task","107","111995","131","yes","1024"
"","W","Y","81.0606060606","81.0606060606","863.575757576","863.575757576","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","104381","2000","0.0191605752005","0","1","0","0","0","m","m","4","64","4","56","1","9","0","0","0","0","0","0","0","1","9","1","9","4","64","4","56","4","64","4","56","0","0","9","1","9","1","4","64","4","56","4","0","131","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","4","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","None","m","None","m","None","1997","543","1998","1159","1997","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","292956","25416","305141","14290","294016","1219","NA","26435","38118","28063","28117","1219","2098","265582","14291","294018","12237","291957","24416","304142","12237","291957","24416","304142","28118","2059","267577","4093","296013","16286","12223","291943","24401","304127","1218","306140","Go No-go Task","107","113992","132","yes","1024"
"","W","X","81.2030075188","81.2030075188","872.112781955","872.112781955","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","105493","2000","0.0189586038884","1","1","0","0","1","m","None","4","64","4","57","1","9","0","0","0","0","0","0","0","1","9","1","9","4","64","4","57","4","64","4","57","0","0","9","1","9","1","4","64","4","57","4","0","132","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","5","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","None","m","None","m","None","1999","543","1998","1159","1999","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","292956","25416","307171","14290","294016","1219","NA","26435","38118","28063","28117","1219","2098","265582","14291","294018","12237","291957","24416","306171","12237","291957","24416","306171","28118","2059","267577","4093","296013","16286","12223","291943","24401","306157","1218","308170","Go No-go Task","108","115991","133","yes","1024"
"","W","G","80.5970149254","80.5970149254","880.514925373","880.514925373","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","104470","2000","0.0191442519384","0","1","0","0","0","m","m","4","64","4","58","1","9","0","0","0","0","0","0","0","1","9","1","9","4","64","4","58","4","64","4","58","0","0","9","1","9","1","4","64","4","58","4","0","133","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","6","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","None","m","None","m","None","1998","543","1998","1159","1998","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","292956","25416","309196","14290","294016","1219","NA","26435","38118","28063","28117","1219","2098","265582","14291","294018","12237","291957","24416","308197","12237","291957","24416","308197","28118","2059","267577","4093","296013","16286","12223","291943","24401","308182","1218","310195","Go No-go Task","108","117989","134","yes","1024"
"","W","D","80","80","888.8","888.8","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","105330","2000","0.0189879426564","0","1","0","0","0","m","m","4","64","4","59","1","9","0","0","0","0","0","0","0","1","9","1","9","4","64","4","59","4","64","4","59","0","0","9","1","9","1","4","64","4","59","4","0","134","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","7","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","None","m","None","m","None","1999","543","1998","1159","1999","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","292956","25416","311222","14290","294016","1219","NA","26435","38118","28063","28117","1219","2098","265582","14291","294018","12237","291957","24416","310222","12237","291957","24416","310222","28118","2059","267577","4093","296013","16286","12223","291943","24401","310207","1218","312221","Go No-go Task","108","119988","135","yes","1024"
"","W","J","79.4117647059","79.4117647059","896.963235294","896.963235294","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","105484","2000","0.0189602214554","0","1","0","0","0","m","m","4","64","4","60","1","9","0","0","0","0","0","0","0","1","9","1","9","4","64","4","60","4","64","4","60","0","0","9","1","9","1","4","64","4","60","4","0","135","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","8","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","None","m","None","m","None","1999","543","1998","1159","1999","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","292956","25416","313248","14290","294016","1219","NA","26435","38118","28063","28117","1219","2098","265582","14291","294018","12237","291957","24416","312248","12237","291957","24416","312248","28118","2059","267577","4093","296013","16286","12223","291943","24401","312234","1218","314247","Go No-go Task","108","121987","136","yes","1024"
"","W","A","78.8321167883","78.8321167883","904.99270073","904.99270073","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","106127","2000","0.0188453456708","0","1","0","0","0","m","m","4","64","4","61","1","9","0","0","0","0","0","0","0","1","9","1","9","4","64","4","61","4","64","4","61","0","0","9","1","9","1","4","64","4","61","4","0","136","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","9","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","None","m","None","m","None","1997","543","1998","1159","1997","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","292956","25416","315273","14290","294016","1219","NA","26435","38118","28063","28117","1219","2098","265582","14291","294018","12237","291957","24416","314274","12237","291957","24416","314274","28118","2059","267577","4093","296013","16286","12223","291943","24401","314260","1218","316276","Go No-go Task","108","123984","137","yes","1024"
"","W","X","78.9855072464","78.9855072464","912.920289855","912.920289855","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","108884","2000","0.0183681716322","1","1","0","0","1","m","None","4","64","4","62","1","9","0","0","0","0","0","0","0","1","9","1","9","4","64","4","62","4","64","4","62","0","0","9","1","9","1","4","64","4","62","4","0","137","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","10","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","None","m","None","m","None","1999","543","1998","1159","1999","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","292956","25416","317308","14290","294016","1219","NA","26435","38118","28063","28117","1219","2098","265582","14291","294018","12237","291957","24416","316308","12237","291957","24416","316308","28118","2059","267577","4093","296013","16286","12223","291943","24401","316293","1218","318307","Go No-go Task","109","125983","138","yes","1024"
"","W","O","78.4172661871","78.4172661871","920.726618705","920.726618705","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","103339","2000","0.0193537773735","0","1","0","0","0","m","m","4","64","4","63","1","9","0","0","0","0","0","0","0","1","9","1","9","4","64","4","63","4","64","4","63","0","0","9","1","9","1","4","64","4","63","4","0","138","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","11","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","None","m","None","m","None","1998","543","1998","1159","1998","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","292956","25416","319335","14290","294016","1219","NA","26435","38118","28063","28117","1219","2098","265582","14291","294018","12237","291957","24416","318336","12237","291957","24416","318336","28118","2059","267577","4093","296013","16286","12223","291943","24401","318320","1218","320334","Go No-go Task","109","127981","139","yes","1024"
"","W","X","78.5714285714","78.5714285714","928.428571429","928.428571429","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","102203","2000","0.0195688971948","1","1","0","0","1","m","None","4","64","4","64","1","9","0","0","0","0","0","0","0","1","9","1","9","4","64","4","64","4","64","4","64","0","0","9","1","9","1","4","64","4","64","4","0","139","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","12","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","None","m","None","m","None","1999","543","1998","1159","1999","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","292956","25416","321360","14290","294016","1219","NA","26435","38118","28063","28117","1219","2098","265582","14291","294018","12237","291957","24416","320360","12237","291957","24416","320360","28118","2059","267577","4093","296013","16286","12223","291943","24401","320346","1218","322359","Go No-go Task","110","129980","140","yes","1024"
"","O","X","78.0141843972","78.0141843972","936.021276596","936.021276596","white","no","legacy","legacy","legacy","0","[condition1]","control","experimental","uniform","102888","2000","0.0194386128606","0","1","0","0","1","m","None","4","65","4","64","1","10","0","0","0","0","0","0","0","1","10","1","10","4","65","4","64","4","65","4","64","0","0","10","1","10","1","4","65","4","64","4","0","140","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","0","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","None","m","None","m","None","1999","543","1999","1159","1999","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","325423","25416","321360","14290","322410","1219","NA","26435","38118","28063","28117","1219","2098","322412","14291","294018","12237","324423","24416","320360","12237","324423","24416","320360","28118","2059","324407","4093","296013","16286","12223","324408","24401","320346","1218","326422","Go No-go Task","110","131979","141","yes","1024"
"","P","X","77.4647887324","77.4647887324","943.507042254","943.507042254","white","no","legacy","legacy","legacy","0","[condition1]","control","experimental","uniform","105225","2000","0.0190068899976","0","1","0","0","1","m","None","4","66","4","64","1","10","0","0","0","0","0","0","0","1","10","1","10","4","66","4","64","4","66","4","64","0","0","10","1","10","1","4","66","4","64","4","0","141","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","1","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","None","m","None","m","None","1999","543","1999","1159","1999","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","327449","25416","321360","14290","322410","1219","NA","26435","38118","28063","28117","1219","2098","322412","14291","294018","12237","326449","24416","320360","12237","326449","24416","320360","28118","2059","324407","4093","296013","16286","12223","326435","24401","320346","1218","328448","Go No-go Task","110","133978","142","yes","1024"
"","I","X","76.9230769231","76.9230769231","950.888111888","950.888111888","white","no","legacy","legacy","legacy","0","[condition1]","control","experimental","uniform","103954","2000","0.0192392789118","0","1","0","0","1","m","None","4","67","4","64","1","10","0","0","0","0","0","0","0","1","10","1","10","4","67","4","64","4","67","4","64","0","0","10","1","10","1","4","67","4","64","4","0","142","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","2","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","None","m","None","m","None","1999","543","1999","1159","1999","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","329475","25416","321360","14290","322410","1219","NA","26435","38118","28063","28117","1219","2098","322412","14291","294018","12237","328475","24416","320360","12237","328475","24416","320360","28118","2059","324407","4093","296013","16286","12223","328461","24401","320346","1218","330474","Go No-go Task","110","135977","143","yes","1024"
"","R","X","76.3888888889","76.3888888889","958.159722222","958.159722222","white","no","legacy","legacy","legacy","0","[condition1]","control","experimental","uniform","104716","2000","0.0190992780473","0","1","0","0","1","m","None","4","68","4","64","1","10","0","0","0","0","0","0","0","1","10","1","10","4","68","4","64","4","68","4","64","0","0","10","1","10","1","4","68","4","64","4","0","143","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","3","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","None","m","None","m","None","1998","543","1998","1159","1999","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","331500","25416","321360","14290","322410","1219","NA","26435","38118","28063","28117","1219","2098","322412","14291","294018","12237","330500","24416","320360","12237","330500","24416","320360","28118","2059","324407","4093","296013","16286","12223","330486","24401","320346","1218","332500","Go No-go Task","110","137975","144","yes","1024"
"","G","X","75.8620689655","75.8620689655","965.331034483","965.331034483","white","no","legacy","legacy","legacy","0","[condition1]","control","experimental","uniform","104238","2000","0.0191868608377","0","1","0","0","1","m","None","4","69","4","64","1","10","0","0","0","0","0","0","0","1","10","1","10","4","69","4","64","4","69","4","64","0","0","10","1","10","1","4","69","4","64","4","0","144","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","4","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","None","m","None","m","None","1998","543","1998","1159","1999","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","333526","25416","321360","14290","322410","1219","NA","26435","38118","28063","28117","1219","2098","322412","14291","294018","12237","332526","24416","320360","12237","332526","24416","320360","28118","2059","324407","4093","296013","16286","12223","332512","24401","320346","1218","334525","Go No-go Task","110","139973","145","yes","1024"
"","D","X","75.3424657534","75.3424657534","972.410958904","972.410958904","white","no","legacy","legacy","legacy","0","[condition1]","control","experimental","uniform","104387","2000","0.0191594738808","0","1","0","0","1","m","None","4","70","4","64","1","10","0","0","0","0","0","0","0","1","10","1","10","4","70","4","64","4","70","4","64","0","0","10","1","10","1","4","70","4","64","4","0","145","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","5","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","None","m","None","m","None","1999","543","1999","1159","1999","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","335552","25416","321360","14290","322410","1219","NA","26435","38118","28063","28117","1219","2098","322412","14291","294018","12237","334552","24416","320360","12237","334552","24416","320360","28118","2059","324407","4093","296013","16286","12223","334537","24401","320346","1218","336551","Go No-go Task","110","141972","146","yes","1024"
"","Q","X","74.8299319728","74.8299319728","979.387755102","979.387755102","white","no","legacy","legacy","legacy","0","[condition1]","control","experimental","uniform","107438","2000","0.0186153874793","0","1","0","0","1","m","None","4","71","4","64","1","10","0","0","0","0","0","0","0","1","10","1","10","4","71","4","64","4","71","4","64","0","0","10","1","10","1","4","71","4","64","4","0","146","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","6","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","None","m","None","m","None","1998","543","1998","1159","1999","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","337577","25416","321360","14290","322410","1219","NA","26435","38118","28063","28117","1219","2098","322412","14291","294018","12237","336578","24416","320360","12237","336578","24416","320360","28118","2059","324407","4093","296013","16286","12223","336564","24401","320346","1218","338580","Go No-go Task","110","143970","147","yes","1024"
"","U","X","74.3243243243","74.3243243243","986.27027027","986.27027027","white","no","legacy","legacy","legacy","0","[condition1]","control","experimental","uniform","113402","2000","0.0176363732562","0","1","0","0","1","m","None","4","72","4","64","1","10","0","0","0","0","0","0","0","1","10","1","10","4","72","4","64","4","72","4","64","0","0","10","1","10","1","4","72","4","64","4","0","147","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","7","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","None","m","None","m","None","1998","543","1998","1159","1999","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","339609","25416","321360","14290","322410","1219","NA","26435","38118","28063","28117","1219","2098","322412","14291","294018","12237","338610","24416","320360","12237","338610","24416","320360","28118","2059","324407","4093","296013","16286","12223","338596","24401","320346","1218","340608","Go No-go Task","110","145968","148","yes","1024"
"","S","X","73.8255033557","73.8255033557","993.060402685","993.060402685","white","no","legacy","legacy","legacy","0","[condition1]","control","experimental","uniform","114718","2000","0.0174340556844","0","1","0","0","1","m","None","4","73","4","64","1","10","0","0","0","0","0","0","0","1","10","1","10","4","73","4","64","4","73","4","64","0","0","10","1","10","1","4","73","4","64","4","0","148","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","8","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","None","m","None","m","None","1998","543","1998","1159","1999","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","341636","25416","321360","14290","322410","1219","NA","26435","38118","28063","28117","1219","2098","322412","14291","294018","12237","340637","24416","320360","12237","340637","24416","320360","28118","2059","324407","4093","296013","16286","12223","340622","24401","320346","1218","342635","Go No-go Task","110","147966","149","yes","1024"
"","J","X","73.3333333333","73.3333333333","999.76","999.76","white","no","legacy","legacy","legacy","0","[condition1]","control","experimental","uniform","108464","2000","0.0184392978315","0","1","0","0","1","m","None","4","74","4","64","1","10","0","0","0","0","0","0","0","1","10","1","10","4","74","4","64","4","74","4","64","0","0","10","1","10","1","4","74","4","64","4","0","149","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","9","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","None","m","None","m","None","1998","543","1998","1159","1999","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","343663","25416","321360","14290","322410","1219","NA","26435","38118","28063","28117","1219","2098","322412","14291","294018","12237","342663","24416","320360","12237","342663","24416","320360","28118","2059","324407","4093","296013","16286","12223","342649","24401","320346","1218","344662","Go No-go Task","110","149964","150","yes","1024"
"","C","X","72.8476821192","72.8476821192","1006.37086093","1006.37086093","white","no","legacy","legacy","legacy","0","[condition1]","control","experimental","uniform","115128","2000","0.0173719685915","0","1","0","0","1","m","None","4","75","4","64","1","10","0","0","0","0","0","0","0","1","10","1","10","4","75","4","64","4","75","4","64","0","0","10","1","10","1","4","75","4","64","4","0","150","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","10","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","None","m","None","m","None","1998","543","1998","1159","1999","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","345688","25416","321360","14290","322410","1219","NA","26435","38118","28063","28117","1219","2098","322412","14291","294018","12237","344689","24416","320360","12237","344689","24416","320360","28118","2059","324407","4093","296013","16286","12223","344674","24401","320346","1218","346687","Go No-go Task","110","151962","151","yes","1024"
